observation_date,AEXCHUS
1981-01-01,1.7100
1982-01-01,1.8979
1983-01-01,1.9810
1984-01-01,2.3303
1985-01-01,2.9434
1986-01-01,3.4616
1987-01-01,3.7314
1988-01-01,3.7314
1989-01-01,3.7673
1990-01-01,4.7921
1991-01-01,5.3337
1992-01-01,5.5206
1993-01-01,5.7795
1994-01-01,8.6397
1995-01-01,8.3700
1996-01-01,8.3389
1997-01-01,8.3193
1998-01-01,8.3008
1999-01-01,8.2783
2000-01-01,8.2784
2001-01-01,8.2770
2002-01-01,8.2771
2003-01-01,8.2772
2004-01-01,8.2768
2005-01-01,8.1936
2006-01-01,7.9723
2007-01-01,7.6058
2008-01-01,6.9477
2009-01-01,6.8307
2010-01-01,6.7696
2011-01-01,6.4630
2012-01-01,6.3093
2013-01-01,6.1478
2014-01-01,6.1620
2015-01-01,6.2827
2016-01-01,6.6400
2017-01-01,6.7569
2018-01-01,6.6090
2019-01-01,6.9081
2020-01-01,6.9042
2021-01-01,6.4508
2022-01-01,6.7290
2023-01-01,7.0809
2024-01-01,7.1957
